"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Markdown", "PostCSS", "HTML", "TypeScript JSX", "Dotenv", "JavaScript", "XML", "C#", "Properties", "comment", "blank", "total"
"c:\Users\Diar\Desktop\theodin\SocialMedia\backend\bin\Debug\net10.0\BuildHost-netcore\Microsoft.CodeAnalysis.Workspaces.MSBuild.BuildHost.deps.json", "JSON", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 171
"c:\Users\Diar\Desktop\theodin\SocialMedia\backend\bin\Debug\net10.0\BuildHost-netcore\Microsoft.CodeAnalysis.Workspaces.MSBuild.BuildHost.runtimeconfig.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\Diar\Desktop\theodin\SocialMedia\backend\bin\Debug\net10.0\appsettings.Development.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Diar\Desktop\theodin\SocialMedia\backend\bin\Debug\net10.0\appsettings.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"c:\Users\Diar\Desktop\theodin\SocialMedia\backend\bin\Debug\net10.0\backend.deps.json", "JSON", 955, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 955
"c:\Users\Diar\Desktop\theodin\SocialMedia\backend\bin\Debug\net10.0\backend.runtimeconfig.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\Diar\Desktop\theodin\SocialMedia\backend\bin\Debug\net10.0\backend.staticwebassets.endpoints.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Diar\Desktop\theodin\SocialMedia\backend\obj\Debug\net10.0\.NETCoreApp,Version=v10.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 1, 5
"c:\Users\Diar\Desktop\theodin\SocialMedia\backend\obj\Debug\net10.0\backend.AssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 10, 5, 25
"c:\Users\Diar\Desktop\theodin\SocialMedia\backend\obj\Debug\net10.0\backend.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 1, 33
"c:\Users\Diar\Desktop\theodin\SocialMedia\backend\obj\Debug\net10.0\backend.GlobalUsings.g.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 1, 18
"c:\Users\Diar\Desktop\theodin\SocialMedia\backend\obj\Debug\net10.0\backend.MvcApplicationPartsAssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 9, 5, 18
"c:\Users\Diar\Desktop\theodin\SocialMedia\backend\obj\Debug\net10.0\backend.sourcelink.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Diar\Desktop\theodin\SocialMedia\backend\obj\Debug\net10.0\rjsmcshtml.dswa.cache.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Diar\Desktop\theodin\SocialMedia\backend\obj\Debug\net10.0\rjsmrazor.dswa.cache.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Diar\Desktop\theodin\SocialMedia\backend\obj\Debug\net10.0\rpswa.dswa.cache.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Diar\Desktop\theodin\SocialMedia\backend\obj\Debug\net10.0\staticwebassets.build.endpoints.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
